STATS;COUNT;PERCENT
STRAIGHT;4627;4.627%
THREE_OF_A_KIND;7324;7.324%
HIGH_CARD;6334;6.334%
FULL_HOUSE;4700;4.7%
FLUSH;5043;5.043%
FOUR_OF_A_KIND;326;0.326%
ONE_PAIR;39251;39.251%
TWO_PAIR;32349;32.349%
STRAIGHT_FLUSH;46;0.046%
