STATS;COUNT;PERCENT
STRAIGHT;503;5.03%
THREE_OF_A_KIND;729;7.29%
HIGH_CARD;639;6.39%
FLUSH;506;5.06%
FULL_HOUSE;480;4.8%
FOUR_OF_A_KIND;36;0.36%
ONE_PAIR;3813;38.13%
TWO_PAIR;3288;32.88%
STRAIGHT_FLUSH;6;0.06%
