STATS;COUNT;PERCENT
STRAIGHT_FLUSH;7;0.07%
FULL_HOUSE;441;4.41%
FOUR_OF_A_KIND;36;0.36%
FLUSH;506;5.06%
TWO_PAIR;3144;31.44%
THREE_OF_A_KIND;766;7.66%
ONE_PAIR;3995;39.95%
STRAIGHT;449;4.49%
HIGH_CARD;656;6.56%
